epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,791.505,0.70795,1.41389,0.59496,1.04893,0,0.88391,0.87152,0.87394,0.59107,0.87554,0.85535,0.85278,0.62829,0.69013,0.82691,0.52424,1.00493,0,0.000276348,0.000276348,0.000276348
29,834.8,0.69663,1.41192,0.59765,1.03945,0,0.89653,0.876,0.8927,0.59891,0.893,0.87318,0.88156,0.64863,0.66903,0.7772,0.50644,1.00282,0,0.000255731,0.000255731,0.000255731
30,877.679,0.69495,1.38098,0.58065,1.03647,0,0.87818,0.8813,0.88875,0.64014,0.86266,0.84856,0.86184,0.65271,0.62222,0.78819,0.49733,0.96642,0,0.000235114,0.000235114,0.000235114
31,925.246,0.67636,1.39325,0.50762,1.04485,0,0.88414,0.87478,0.88876,0.66376,0.86795,0.86206,0.86865,0.67023,0.62643,0.82711,0.49157,0.97645,0,0.000214497,0.000214497,0.000214497
32,968.778,0.65915,1.34221,0.48729,1.03189,0,0.8831,0.88113,0.89268,0.59046,0.88186,0.87312,0.88247,0.63864,0.66419,0.68625,0.49158,0.9856,0,0.000193881,0.000193881,0.000193881
33,1011.5,0.6442,1.33713,0.46918,1.0199,0,0.87526,0.87759,0.87013,0.5716,0.86519,0.85364,0.84199,0.60801,0.68629,0.8178,0.49964,1.00018,0,0.000173264,0.000173264,0.000173264
34,1053.89,0.62384,1.28574,0.45557,1.00458,0,0.87868,0.88095,0.87753,0.62044,0.88056,0.87995,0.86894,0.65446,0.65533,0.7062,0.4815,0.97269,0,0.000152647,0.000152647,0.000152647
35,1100.17,0.61269,1.27552,0.44412,1.00428,0,0.87884,0.89628,0.89003,0.63053,0.85734,0.87312,0.85638,0.64523,0.61002,0.77422,0.46191,0.94976,0,0.000132031,0.000132031,0.000132031
36,1142.56,0.60465,1.26991,0.42962,0.98939,0,0.89286,0.87872,0.88607,0.66413,0.87924,0.84477,0.8428,0.6406,0.56903,0.77162,0.44275,0.92807,0,0.000111414,0.000111414,0.000111414
37,1183.37,0.58203,1.22399,0.4158,0.98168,0,0.89561,0.86844,0.88544,0.7102,0.87409,0.84598,0.84621,0.65079,0.53057,0.77799,0.43127,0.90948,0,9.0797e-05,9.0797e-05,9.0797e-05
38,1226.06,0.58177,1.20602,0.41393,0.97824,0,0.88302,0.89559,0.8899,0.68749,0.88765,0.84974,0.86107,0.67781,0.53873,0.73773,0.42404,0.91133,0,7.01802e-05,7.01802e-05,7.01802e-05
39,1268.4,0.57024,1.17311,0.40428,0.97373,0,0.88839,0.87808,0.88291,0.68723,0.86734,0.8599,0.84373,0.66737,0.52932,0.73929,0.42545,0.90406,0,4.95635e-05,4.95635e-05,4.95635e-05
40,1309.75,0.5552,1.17504,0.39771,0.97186,0,0.90406,0.87421,0.88182,0.68977,0.88109,0.85054,0.84041,0.65574,0.52561,0.7391,0.42107,0.90548,0,2.89468e-05,2.89468e-05,2.89468e-05
